id,name,category,region,status,reason,image_url,image_source,source_title,url_title,score,non_food_keyword,prev_url,prev_title,prev_url_reachable,license,flags
501,Sindhi Phirni,Dessert,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Firni Or Phirni Bangladeshi Sweet 1 ★),,,,,,,,,no-candidate
176,Sindhi Pulao,Rice,Sindh,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/3/37/Mutton_pulao.jpg,Wikimedia Commons via Openverse (pulao ★),,Mutton pulao,0.5,,https://upload.wikimedia.org/wikipedia/commons/7/71/Sindhi_Pulao.jpg,Sindhi Pulao,,by-sa,probe-ratelimited
1083,Sindhi Samosa,Snacks,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,"Wikimedia Commons via Openverse (Aloo samosa - Sri Sai tiffin centre, Gulmohar Park Colony, Serilingampalle - Hyderabad - DSC 0018 ★)",,,,,,,,,no-candidate
192,Sindhi Seero,Rice,Sindh,LIKELY_WRONG,no title/name token overlap; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/7/7e/Sooji_Halwa_%28Rava_Sheera%29.jpg,Wikimedia Commons via Openverse (seero ★),,Sooji Halwa (Rava Sheera),0,,,,,,unrelated-title;probe-ratelimited
188,Sindhi Tahari,Rice,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (tahari ★),,,,,,,,,no-candidate
1217,Snack,Snacks,Common Across Pakistan,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,Wikimedia Commons via Openverse (Azerbaijan Light snack ★),,,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Azerbaijan_Light_snack.jpg,Azerbaijan Light snack,false,by-sa,prev-url-available;prev-url-unverified
80,Snake Gourd,Vegetable,Sindh,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/1/1f/Thichosanthes_cucumerina%2C_the_snake_gourds%2C_variable_fruit_shapes_and_colors_as_seen_in_cultivation.jpg,"Wikimedia Commons via Openverse (Thichosanthes cucumerina, the snake gourds, variable fruit shapes and colors as seen in cultivation ★)",,"Thichosanthes cucumerina, the snake gourds, variable fruit shapes and colors as seen in cultivation",0.5,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Thichosanthes_cucumerina%2C_the_snake_gourds%2C_variable_fruit_shapes_and_colors_as_seen_in_cultivation.jpg,"Thichosanthes cucumerina, the snake gourds, variable fruit shapes and colors as seen in cultivation",,by,probe-ratelimited
601,Sohan Halwa,Dessert,Common Across Pakistan,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/5/5b/Sohan_Halwa_at_Ghantewala_in_Chandni_Chowk%2C_Delhi.jpg,"Wikimedia Commons via Openverse (Sohan Halwa at Ghantewala in Chandni Chowk, Delhi ★)",,"Sohan Halwa at Ghantewala in Chandni Chowk, Delhi",1,hand,https://upload.wikimedia.org/wikipedia/commons/5/5b/Sohan_Halwa_at_Ghantewala_in_Chandni_Chowk%2C_Delhi.jpg,"Sohan Halwa at Ghantewala in Chandni Chowk, Delhi",,by-sa,non-food:hand;probe-ratelimited
441,Sohan Papdi,Dessert,Punjab,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/6/6c/Soan_sohan_papdi_India_Festive_Sweets.jpg,Wikimedia Commons via Openverse (File:Soan sohan papdi India Festive Sweets.jpg ★),,Soan sohan papdi India Festive Sweets,1,,https://upload.wikimedia.org/wikipedia/commons/6/6c/Soan_sohan_papdi_India_Festive_Sweets.jpg,File:Soan sohan papdi India Festive Sweets.jpg,,by,probe-ratelimited
127,Spinach,Vegetable,Common Across Pakistan,GOOD,url reachable (200); title overlaps name,https://upload.wikimedia.org/wikipedia/commons/3/36/Spinach_produce-1.jpg,Wikimedia Commons via Openverse (Spinach produce-1 ★),,Spinach produce-1,1,,https://upload.wikimedia.org/wikipedia/commons/3/36/Spinach_produce-1.jpg,Spinach produce-1,,by-sa,
